Ability,Motivation,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Task_1,Task_2,Task_3,Task_4,Task_5,Hint_1,Hint_2,Hint_3,Error_1,Error_2,Error_3,Score_1,Score_2,Score_3,TimeSpent_1,TimeSpent_2,TimeSpent_3,Overall
2,1,1,2,3,1,3,1,3,1,3,2,1,1,1,2,3,2,3,1,2,2,2,2,3,3,1,2,2,2
1,1,1,2,1,1,2,0,1,0,0,0,1,3,3,0,1,2,1,1,2,3,0,1,3,1,0,1,0,2
2,1,3,2,2,2,3,0,2,0,2,1,3,2,0,3,0,3,3,2,2,2,2,2,2,2,2,2,3,2
2,1,0,3,1,3,1,3,1,1,2,1,2,2,2,2,3,3,1,2,3,1,1,1,2,1,0,3,1,0
1,2,2,1,3,2,0,1,2,3,3,2,2,0,0,1,0,3,1,1,1,1,1,0,0,3,0,2,2,2
1,3,2,0,0,0,1,3,1,2,2,2,2,2,3,2,3,1,3,1,2,2,1,1,1,1,2,2,2,1
1,3,1,1,0,2,1,2,1,1,1,0,0,1,2,0,1,1,3,0,3,3,1,1,1,2,2,1,2,2
2,2,1,1,1,2,2,2,2,0,2,3,2,2,2,1,1,2,2,2,1,1,3,2,3,2,3,2,2,2
1,2,2,2,0,0,2,2,1,2,1,1,0,2,2,0,3,2,0,2,3,3,2,2,2,3,0,1,3,2
0,1,3,0,2,1,0,0,3,1,0,0,0,1,0,0,1,3,2,3,1,2,1,2,0,2,3,3,0,1
1,0,1,1,1,1,0,2,0,1,1,0,1,2,3,2,1,3,1,1,3,2,2,2,2,1,1,2,3,2
1,1,1,0,1,1,1,0,1,1,2,3,0,3,1,2,1,0,2,3,3,1,2,2,1,3,1,0,2,2
1,0,1,0,1,2,0,1,1,0,1,0,0,2,1,0,1,1,2,1,2,1,0,3,1,2,3,0,0,2
3,1,2,1,3,2,3,2,3,2,2,3,2,3,1,2,2,2,2,1,1,1,2,2,1,1,2,3,1,1
1,3,1,2,1,0,2,0,2,0,2,2,0,2,1,1,1,3,3,2,1,0,0,1,2,2,3,3,2,1
0,2,2,0,1,0,0,1,3,0,2,1,1,0,1,3,2,1,0,0,1,0,3,0,2,1,0,1,1,2
1,2,2,1,1,1,2,1,0,0,3,3,1,2,1,2,3,1,1,0,1,0,3,3,0,0,0,1,2,1
3,2,2,3,2,2,3,0,2,1,1,3,1,2,1,1,2,2,1,3,3,3,1,2,2,1,3,3,3,2
0,1,1,1,1,2,3,1,3,2,3,0,3,3,1,1,1,3,2,1,0,1,0,1,1,1,2,0,3,0
1,1,2,2,1,0,1,0,1,0,3,2,0,2,0,0,1,0,1,2,1,1,2,2,2,1,2,2,3,2
1,2,0,1,0,0,2,1,2,2,1,1,1,1,0,0,1,1,0,2,0,0,1,2,0,2,3,2,2,0
2,2,2,3,2,1,3,3,1,2,1,2,2,1,1,2,3,2,1,3,1,2,2,1,1,2,2,1,3,0
1,0,1,0,2,1,3,1,2,2,1,1,0,1,3,0,3,2,2,0,0,2,3,0,0,1,0,2,3,2
1,3,3,3,2,1,1,1,1,2,0,0,0,0,2,1,3,2,2,3,2,2,1,0,0,1,3,1,3,1
0,2,1,0,1,3,0,3,2,2,0,3,3,3,2,0,0,0,1,1,1,1,2,1,0,1,1,1,1,2
1,2,1,1,2,1,0,3,1,1,1,1,0,1,3,1,2,1,1,1,3,1,2,1,1,2,0,3,3,2
3,0,2,2,1,1,3,3,2,1,2,2,3,2,2,2,0,2,1,2,0,1,0,1,1,0,3,2,1,2
1,1,0,2,2,0,1,0,1,0,1,0,1,1,2,1,3,2,0,2,0,0,1,0,3,2,3,2,2,2
1,3,2,0,3,1,1,0,3,0,2,2,0,2,2,1,1,1,1,1,3,1,3,1,0,2,1,2,1,2
1,2,1,1,3,0,0,0,1,2,1,1,0,1,1,1,2,1,0,1,2,0,2,2,3,0,2,1,1,2
1,2,3,2,2,2,0,3,0,1,1,1,2,1,1,1,2,1,3,0,0,0,1,2,1,3,1,0,0,1
3,1,2,0,3,1,2,2,3,2,2,2,1,2,1,3,3,2,3,3,3,3,3,2,3,3,1,1,3,2
1,1,2,3,3,2,1,0,2,2,2,3,2,0,2,1,0,0,1,0,1,0,0,0,3,0,2,2,2,2
1,1,3,3,1,2,0,1,1,1,0,2,1,0,1,2,2,1,0,2,0,2,0,3,3,1,1,1,2,2
3,2,2,0,2,3,2,1,2,2,2,0,2,1,2,3,2,2,1,2,3,3,0,2,2,3,3,2,3,2
1,2,1,3,3,1,0,1,0,2,3,3,1,1,0,3,2,1,2,1,2,1,1,2,1,1,1,2,1,2
1,0,2,1,2,2,1,3,2,0,1,3,1,1,1,1,1,2,1,1,2,2,1,0,1,0,1,1,2,2
2,2,2,2,2,2,2,3,3,1,3,1,2,2,2,2,3,3,2,2,3,2,2,1,1,1,1,3,2,2
1,2,2,1,1,1,3,0,1,1,1,0,1,1,3,0,0,1,2,2,0,1,2,0,0,1,0,3,1,2
3,0,3,1,2,3,3,1,0,3,2,2,2,2,2,1,1,2,1,3,2,0,1,2,1,1,2,3,2,1
2,2,2,2,1,1,2,1,3,3,2,3,2,1,2,3,1,2,1,2,0,0,0,0,1,1,1,3,3,2
2,3,2,1,3,2,3,3,2,1,3,1,3,2,2,3,2,3,3,2,2,2,3,1,2,1,3,1,2,1
3,3,2,3,2,2,0,0,3,2,2,1,1,0,1,1,3,3,0,3,0,0,3,0,2,2,1,0,1,2
